website_flag,meaning
p0,povprečna temperatura zraka na 2 m (°C)
p1,maksimalna temperatura zraka na 2 m (°C)
p2,minimalna temperatura zraka na 2 m (°C)
p3,minimalna temperatura zraka na 5cm (°C)
p4,povprečna hitrost vetra (m/s)
p5,povprečna oblačnost (pokritost neba v %)
p6,povprečna relativna vlaga (%)
p7,povprečen zračni tlak (hPa)
p8,24-urna količina padavin ob 7 h (mm)
p9,skupna višina snežne odeje (cm)
p10,višina novozapadlega snega (cm)
p11,trajanje sončnega obsevanja (h)
p12,močan veter (> 6bf)
p13,viharni veter (> 8bf)
p14,dež
p15,rosenje
p16,ploha dežja
p17,nevihta
p18,grmenje
p19,bliskanje
p20,"dež, ki zmrzuje"
p21,"rosenje, ki zmrzuje"
p22,ledene iglice
p23,sneg
p24,zrnat sneg
p25,ploha snega
p26,dež s snegom
p27,babje pšeno
p28,ploha dežja s snegom
p29,toča
p30,sodra
p31,megla
p32,megla z vidnim nebom
p33,ledena megla
p34,meglica
p35,suha motnost
p36,nizka (talna) megla
p37,rosa
p38,slana
p39,poledica
p40,poledica na tleh
p41,ivje
p42,trdo ivje
p43,padavine
p44,snežna odeja

Added_columns,meaning
record,coded timestamp for record(from website)
encoded_dates,encoded time
station_id,station id
station_type,station type
station_name,station name
station_lon,station longitude
station_lat,station latitude
date_from,start date for download
date_to,end date for download
